
BasicModel: Loading and testing schedule from file

Configuration: 

customers=Usuarios.txt
resources=Auxiliares.txt
services=clusters_originalLong/Servicios_lunes_c11.txt
locations=clusters_originalLong/Cluster_completo_j12_c11.txt
solution=null
solutionVAR=null

Adding 0 additional subservices: 

# customer, serviceReference, dayOfWeek, minHour, minMinute, maxHour, maxMinute, duration, latitude, longitude
--------
2375,2375.0.11:15.60/0,0,10,15,12,15,60,40.411,-3.6986
2404,2404.0.09:05.90/0,0,7,0,20,30,90,40.408,-3.7113
2405,2405.0.07:30.60/0,0,7,30,7,30,60,40.409,-3.7072
2423,2423.0.09:40.90/0,0,7,0,20,30,90,40.407,-3.7056
2460,2460.0.10:15.60/0,0,9,15,11,15,60,40.413,-3.7051
2460,2460.0.19:00.30/0,0,18,0,20,0,30,40.413,-3.7051
2460,2460.0.16:50.30/0,0,15,50,17,50,30,40.413,-3.7051
2460,2460.0.19:00.15/0,0,18,0,20,0,15,40.413,-3.7051
2472,2472.0.12:30.90/0,0,11,30,13,30,90,40.414,-3.6949
2475,2475.0.11:45.90/0,0,7,0,20,30,90,40.413,-3.7032
3321,3321.0.12:15.120/0,0,11,15,13,15,120,40.407,-3.7023
3321,3321.0.08:00.60/0,0,7,0,9,0,60,40.407,-3.7023
3321,3321.0.14:15.60/0,0,13,15,15,15,60,40.407,-3.7023
6624,6624.0.10:45.120/0,0,7,0,20,0,120,40.41,-3.7102
6806,6806.0.10:10.120/0,0,7,0,20,0,120,40.408,-3.7095
7537,7537.0.09:40.90/0,0,7,0,20,30,90,40.411,-3.7073
7796,7796.0.12:15.90/0,0,7,0,20,30,90,40.41,-3.7129
8228,8228.0.13:20.90/0,0,12,20,14,20,90,40.409,-3.7119
8228,8228.0.07:55.60/0,0,7,0,8,55,60,40.409,-3.7119
8448,8448.0.09:35.90/0,0,7,0,20,30,90,40.407,-3.6989
8573,8573.0.10:20.120/0,0,9,20,11,20,120,40.404,-3.7012
8840,8840.0.13:33.120/0,0,12,33,14,33,120,40.409,-3.7102
8852,8852.0.08:30.90/0,0,7,0,20,30,90,40.411,-3.6957
8956,8956.0.11:00.120/0,0,7,0,20,0,120,40.409,-3.6955
9023,9023.0.09:00.120/0,0,7,0,20,0,120,40.409,-3.7022
9217,9217.0.14:50.60/0,0,7,0,21,0,60,40.415,-3.7083
9247,9247.0.08:50.60/0,0,7,50,9,50,60,40.409,-3.6985
9434,9434.0.10:20.105/0,0,7,0,20,15,105,40.412,-3.6937
9524,9524.0.09:00.90/0,0,8,0,10,0,90,40.411,-3.708
9768,9768.0.10:40.60/0,0,7,0,21,0,60,40.417,-3.7094
9796,9796.0.12:45.90/0,0,7,0,20,30,90,40.411,-3.7
9955,9955.0.13:35.90/0,0,7,0,20,30,90,40.407,-3.7127
9998,9998.0.08:30.180/0,0,7,30,9,30,180,40.413,-3.6958
10656,10656.0.11:30.120/0,0,7,0,20,0,120,40.405,-3.7014
10950,10950.0.11:40.90/0,0,7,0,20,30,90,40.407,-3.7127
12353,12353.0.08:30.120/0,0,7,0,20,0,120,40.409,-3.6988
12358,12358.0.07:55.60/0,0,7,0,8,55,60,40.41,-3.6992
12409,12409.0.13:30.60/0,0,12,30,14,30,60,40.409,-3.7073
12409,12409.0.08:00.60/0,0,7,0,9,0,60,40.409,-3.7073
12409,12409.0.18:45.30/0,0,17,45,19,45,30,40.409,-3.7073
12410,12410.0.10:45.90/0,0,7,0,20,30,90,40.415,-3.7083
12460,12460.0.11:50.120/0,0,10,50,12,50,120,40.412,-3.7138
12493,12493.0.09:05.30/0,0,8,5,10,5,30,40.411,-3.7053
12493,12493.0.14:00.30/0,0,13,0,15,0,30,40.411,-3.7053
12543,12543.0.20:00.30/0,0,19,0,21,0,30,40.408,-3.6971
12543,12543.0.10:30.60/0,0,9,30,11,30,60,40.408,-3.6971
12543,12543.0.15:20.30/0,0,14,20,16,20,30,40.408,-3.6971
12614,12614.0.15:00.30/0,0,14,0,16,0,30,40.41,-3.7036
12614,12614.0.15:00.30/1,0,14,0,16,0,30,40.41,-3.7036
12614,12614.0.07:55.30/0,0,7,0,8,55,30,40.41,-3.7036
12614,12614.0.07:55.30/1,0,7,0,8,55,30,40.41,-3.7036
12614,12614.0.20:20.30/0,0,19,20,21,20,30,40.41,-3.7036
12614,12614.0.20:20.30/1,0,19,20,21,20,30,40.41,-3.7036
12777,12777.0.08:30.90/0,0,7,0,20,30,90,40.411,-3.6996
12901,12901.0.12:10.60/0,0,11,10,13,10,60,40.41,-3.7015
13000,13000.0.09:00.120/0,0,8,0,10,0,120,40.41,-3.6978
13020,13020.0.09:00.120/0,0,7,0,20,0,120,40.407,-3.6993
13044,13044.0.08:00.60/0,0,7,0,9,0,60,40.41,-3.7082
13149,13149.0.08:00.120/0,0,7,0,20,0,120,40.412,-3.7104
13246,13246.0.12:25.120/0,0,7,0,20,0,120,40.409,-3.7053
13249,13249.0.13:25.90/0,0,7,0,20,30,90,40.408,-3.7044
13251,13251.0.17:35.30/0,0,17,35,17,35,30,40.408,-3.7044
13251,13251.0.17:35.30/1,0,17,35,17,35,30,40.408,-3.7044
13251,13251.0.07:45.30/0,0,7,45,7,45,30,40.408,-3.7044
13290,13290.0.11:45.90/0,0,7,0,20,30,90,40.417,-3.7086
13306,13306.0.12:40.90/0,0,11,40,13,40,90,40.408,-3.7032
13324,13324.0.08:00.120/0,0,7,0,20,0,120,40.409,-3.7119
13400,13400.0.13:30.90/0,0,12,30,14,30,90,40.408,-3.7026
13467,13467.0.13:00.90/0,0,7,0,20,30,90,40.411,-3.6997
13475,13475.0.11:05.60/0,0,10,5,12,5,60,40.411,-3.7008
13505,13505.0.10:40.90/0,0,7,0,20,30,90,40.414,-3.7023
13531,13531.0.12:25.120/0,0,11,25,13,25,120,40.411,-3.6978
13531,13531.0.07:50.60/0,0,7,0,8,50,60,40.411,-3.6978
13642,13642.0.08:20.60/0,0,7,20,9,20,60,40.41,-3.7016
13755,13755.0.13:15.120/0,0,12,15,14,15,120,40.419,-3.7109
13853,13853.0.12:15.90/0,0,7,0,20,30,90,40.408,-3.7024
13888,13888.0.12:35.60/0,0,11,35,13,35,60,40.407,-3.7012
14891,14891.0.12:15.120/0,0,7,0,20,0,120,40.409,-3.7153
15052,15052.0.12:30.90/0,0,11,30,13,30,90,40.409,-3.6987
15055,15055.0.08:00.60/0,0,8,0,8,0,60,40.408,-3.7004
15315,15315.0.11:15.120/0,0,7,0,20,0,120,40.412,-3.713
15320,15320.0.09:05.90/0,0,8,5,10,5,90,40.409,-3.7102
15331,15331.0.10:10.90/0,0,9,10,11,10,90,40.41,-3.7113
15409,15409.0.11:00.120/0,0,7,0,20,0,120,40.409,-3.7004
15430,15430.0.13:00.60/0,0,7,0,21,0,60,40.41,-3.7096
15447,15447.0.11:15.90/0,0,10,15,12,15,90,40.41,-3.6956
15449,15449.0.10:05.120/0,0,7,0,20,0,120,40.41,-3.6992
15595,15595.0.11:30.90/0,0,10,30,12,30,90,40.407,-3.7021
15626,15626.0.12:45.90/0,0,11,45,13,45,90,40.414,-3.6983
15679,15679.0.12:45.90/0,0,7,0,20,30,90,40.417,-3.7085
15704,15704.0.10:05.120/0,0,9,5,11,5,120,40.411,-3.6986
15704,15704.0.10:00.30/0,0,9,0,11,0,30,40.411,-3.6986
15988,15988.0.12:40.90/0,0,7,0,20,30,90,40.411,-3.6995
15990,15990.0.10:10.90/0,0,7,0,20,30,90,40.407,-3.7127
16039,16039.0.00:00.60/0,0,7,0,21,0,60,40.414,-3.7131
16039,16039.0.08:00.60/0,0,7,0,21,0,60,40.414,-3.7131
16051,16051.0.10:10.60/0,0,9,10,11,10,60,40.409,-3.7099
16062,16062.0.11:20.90/0,0,10,20,12,20,90,40.413,-3.6985
16195,16195.0.08:00.120/0,0,8,0,8,0,120,40.41,-3.7084
16234,16234.0.08:00.90/0,0,7,0,20,30,90,40.407,-3.7127
16246,16246.0.11:40.120/0,0,7,0,20,0,120,40.407,-3.7003
16255,16255.0.12:40.90/0,0,11,40,13,40,90,40.407,-3.6955
16278,16278.0.08:00.60/0,0,7,0,9,0,60,40.411,-3.7087
16278,16278.0.14:05.30/0,0,13,5,15,5,30,40.411,-3.7087
16278,16278.0.19:40.30/0,0,18,40,20,40,30,40.411,-3.7087
16302,16302.0.08:30.30/0,0,7,30,9,30,30,40.408,-3.7032
16399,16399.0.13:00.90/0,0,7,0,20,30,90,40.411,-3.7007
16408,16408.0.09:05.60/0,0,8,5,10,5,60,40.409,-3.7153
16570,16570.0.10:50.60/0,0,9,50,11,50,60,40.408,-3.6971
16570,16570.0.08:20.60/0,0,7,20,9,20,60,40.408,-3.6971
16676,16676.0.07:30.60/0,0,7,30,7,30,60,40.41,-3.7129
16676,16676.0.16:30.30/0,0,16,30,16,30,30,40.41,-3.7129
16676,16676.0.19:00.60/0,0,19,0,19,0,60,40.41,-3.7129
16768,16768.0.09:40.90/0,0,8,40,10,40,90,40.405,-3.702
16800,16800.0.18:10.60/0,0,7,0,21,0,60,40.41,-3.7111
16800,16800.0.08:00.60/0,0,7,0,21,0,60,40.41,-3.7111
16808,16808.0.09:20.90/0,0,7,0,20,30,90,40.415,-3.7014
16915,16915.0.11:10.90/0,0,10,10,12,10,90,40.408,-3.6981
17147,17147.0.16:50.120/0,0,15,50,17,50,120,40.409,-3.7025
17194,17194.0.10:20.90/0,0,9,20,11,20,90,40.411,-3.6963
17380,17380.0.12:10.120/0,0,7,0,20,0,120,40.416,-3.7103
17400,17400.0.13:45.120/0,0,12,45,14,45,120,40.407,-3.7048
17587,17587.0.08:00.60/0,0,7,0,9,0,60,40.411,-3.7097
17587,17587.0.20:40.30/0,0,19,40,21,30,30,40.411,-3.7097
17771,17771.0.12:20.90/0,0,7,0,20,30,90,40.412,-3.7003
17994,17994.0.11:45.60/0,0,7,0,21,0,60,40.411,-3.7026
18002,18002.0.10:40.90/0,0,7,0,20,30,90,40.409,-3.7127
18125,18125.0.18:15.30/0,0,7,0,21,30,30,40.418,-3.7078
18286,18286.0.08:30.90/0,0,7,0,20,30,90,40.408,-3.7072
18438,18438.0.09:00.120/0,0,8,0,10,0,120,40.41,-3.7004
18440,18440.0.09:00.60/0,0,8,0,10,0,60,40.419,-3.7108
18444,18444.0.07:55.60/0,0,7,0,8,55,60,40.412,-3.7
18444,18444.0.09:00.120/0,0,8,0,10,0,120,40.412,-3.7
18446,18446.0.11:40.90/0,0,7,0,20,30,90,40.407,-3.7003
18469,18469.0.17:30.30/0,0,17,30,17,30,30,40.41,-3.6989
18469,18469.0.09:00.60/0,0,9,0,9,0,60,40.41,-3.6989
19510,19510.0.08:55.30/0,0,8,55,8,55,30,40.406,-3.698
19510,19510.0.18:00.30/0,0,18,0,18,0,30,40.406,-3.698
19543,19543.0.08:45.60/0,0,8,45,8,45,60,40.41,-3.7074
19543,19543.0.17:45.30/0,0,17,45,17,45,30,40.41,-3.7074
19850,19850.0.11:15.60/0,0,7,0,21,0,60,40.409,-3.6994
19935,19935.0.09:00.60/0,0,7,0,21,0,60,40.407,-3.6992
19990,19990.0.12:10.60/0,0,11,10,13,10,60,40.408,-3.7027
20035,20035.0.11:30.45/0,0,10,30,12,30,45,40.407,-3.7021
20194,20194.0.12:30.120/0,0,7,0,20,0,120,40.415,-3.7081
20668,20668.0.13:45.60/0,0,12,45,14,45,60,40.409,-3.7029
20668,20668.0.08:00.60/0,0,7,0,9,0,60,40.409,-3.7029
20675,20675.0.09:00.60/0,0,8,0,10,0,60,40.413,-3.713
20898,20898.0.08:25.90/0,0,7,25,9,25,90,40.404,-3.7018
20953,20953.0.10:45.120/0,0,9,45,11,45,120,40.413,-3.7057
21145,21145.0.08:00.90/0,0,7,0,20,30,90,40.41,-3.7057
21191,21191.0.10:15.30/0,0,9,15,11,15,30,40.409,-3.7049
21191,21191.0.13:30.30/0,0,12,30,14,30,30,40.409,-3.7049
21219,21219.0.09:00.90/0,0,7,0,20,30,90,40.409,-3.6981
